title,date,victim,malware_names,threat,impacts,location,data_source_link_url
Ransomware Attack at Columbian Multinational Healthcare Provider Disrupts Operations,11/27/2022,Keralty Group,,RansomHouse Extortion Group,IT,Colombia,https://icsstrive.com/incident/ransomware-attack-at-columbian-multinational-healthcare-provider-disrupts-operations/
Production Halted at Meat Processing Factory in Luxembourg,11/26/2022,Cobolux,Ransomware – unknown,,OT,Luxembourg,https://icsstrive.com/incident/production-halted-at-meat-processing-factory-in-luxembourg/
Operations Disrupted:  Mexico Airport Internet Cables Cut,11/25/2022,Mexico City Airport,,,IT,Mexico,https://icsstrive.com/incident/operations-disrupted-mexico-airport-internet-cables-cut/
Downtime Caused by Cyberattack Final Straw for German Bicycle Manufacturer,11/25/2022,Prophete GmbH u. Co. KG,,,OT IT,Germany,https://icsstrive.com/incident/downtime-caused-by-cyberattack-final-straw-for-german-bicycle-manufacturer/
T-Mobile Data Breach Hits 37 Million,11/25/2022,T-Mobile,,,IT,United States,https://icsstrive.com/incident/t-mobile-data-breach-hits-37-million/
Outage at Leading Public Medical Institute in India affects Hundreds of Patients and Doctors,11/23/2022,AIIMS – All India Institute of Medical Services,,,IT,India,https://icsstrive.com/incident/outage-at-leading-public-medical-institute-in-india-affects-hundreds-of-patients-and-doctors/
All Networks Shut Down after ‘Large Scale Cyberattack’ in Guadaloupe,11/21/2022,Island of Guadeloupe,,,IT,Guadeloupe,https://icsstrive.com/incident/all-networks-shuts-down-after-large-scale-cyberattack-in-guadaloupe/
Cyberattack hits Communauto Operations Already Struggling with Frustrated Customers,11/21/2022,Communauto,,,IT,Canada,https://icsstrive.com/incident/cyberattack-hits-communauto-operations-already-struggling-with-frustrated-customers/
"Ransomware Attack at German Gas Pipeline Builder, Friedrich Vorwerk, Impacted Profitability",11/20/2022,,,,IT,Germany,https://icsstrive.com/incident/ransomware-attack-at-german-gas-pipeline-builder-friedrich-vorwerk-impacted-profitability/
"Cyberattack at Eesti Energia, Estonia",11/19/2022,Eesti Energia,,,IT,Estonia,https://icsstrive.com/incident/cyberattack-at-eesti-energia-estonia/
"Cyberattack Shuts Down Operations at Precision Casting Foundry, Europea Microfusioni Aerospaziali",11/17/2022,Europea Microfusioni Aerospaziali S.p.A,,,OT IT,Italy,https://icsstrive.com/incident/cyberattack-shuts-down-operations-at-precision-casting-foundry-europea-microfusioni-aerospaziali/
Taxi Ride Hailing Service in Quebec Hacked,11/17/2022,Taxi Coop – ride hailing service,Ransomware – unknown,,IT,Canada,https://icsstrive.com/incident/taxi-ride-hailing-service-in-quebec-hacked/
French Oncology Hospital Suspends Treatments for 4 Days after Ransomware Attack,11/15/2022,Saint-Jean Oncology and Radiotherapy Center,,,IT,France,https://icsstrive.com/incident/french-oncology-hospital-suspends-treatments-for-4-days-after-ransomware-attack/
Daixin Threatens To Publish Network Vulnerabilities After AirAsia Does Not Pay,11/12/2022,AirAsia,,Daixin Team,IT,Malaysia,https://icsstrive.com/incident/daixin-threatens-to-publish-network-vulnerabilities-after-airasia-does-not-pay/
HHS Settles BCAA HIPAA Cybersecurity Violations Investigation for $90K,11/12/2022,Bryan County Ambulance Authority (BCAA),,,IT  Privacy,United States,https://icsstrive.com/incident/hhs-settles-bcaa-hipaa-cybersecurity-violations-investigation-for-90k/
Over 800 Greece Government Services Targeted in Unprecedented Cyberattack,11/11/2022,Greece Government,,,IT,Greece,https://icsstrive.com/incident/over-800-greece-government-services-targeted-in-unprecedented-cyberattack/
Seville Urban Transportation affected by cyberattack,11/06/2022,Seville Urban Transport Company (TUSSAM),,,IT,Spain,https://icsstrive.com/incident/seville-urban-transportation-affected-by-cyberattack/
System Outage at Maple Leaf Food Manufacturer in Canada after Ransomware Attack,11/06/2022,Maple Leaf Foods,,Black Basta Group,OT IT,Canada,https://icsstrive.com/incident/system-outage-at-maple-leaf-food-manufacturer-in-canada/
"Ransomware Attack at Window and Door Manufacturer, PGT Innovations",11/05/2022,PGT Innovations,,,IT,United States,https://icsstrive.com/incident/ransomware-attack-at-window-and-door-manufacturer-pgt-innovations/
"Operational Shutdown at Uponor, Global Intelligent Plumbing and Climate Solutions provider",11/05/2022,Uponor,Ransomware – unknown,,OT IT,Finland,https://icsstrive.com/incident/operational-shutdown-at-uponor-intelligent-plumbing-climate-solutions/
55 Counties in Arkansas Offline or Temporarily Closed by Cyberattack,11/05/2022,Arkansas Government,,,IT,United States,https://icsstrive.com/incident/55-counties-in-arkansas-offline-or-temporarily-closed-by-cyberattack/
Ransomware Attack Encrypts Systems at German Medical Device Manufacturer Richard Wolf,11/03/2022,Richard Wolf GmbH,,,IT,Germany,https://icsstrive.com/incident/ransomware-attack-encrypts-systems-at-german-medical-device-manufacturer-richard-wolf/
IT Systems of Hydraulic Office of Corsica Attacked by Ransomware,11/03/2022,OEHC – Hydraulic Office of Corsica,,,IT,France,https://icsstrive.com/incident/it-systems-of-hydraulic-office-of-corsica-attacked-by-ransomware/
Cyberattack attack at Boeing Subsidiary Causes Widespread Flight Disruptions,11/02/2022,Jeppesen,Ransomware – unknown,,OT,United States,https://icsstrive.com/incident/cyberattack-attack-at-boeing-subsidiary-causes-widespread-flight-disruptions/
"Sunwing Airlines Network Outage Caused by Cyberattack at Jeppesen, Owned by Boeing.",11/02/2022,Sunwing Airlines Inc.,,,OT IT,United States,https://icsstrive.com/incident/sunwing-airlines-network-outage-caused-by-cyberattack-at-jeppesen-owned-by-boeing/
Cyberattack Reported at Institute of Science and Technology Austria (ISTA),11/02/2022,Institute of Science and Technology Austria (ISTA),Unknown,,IT,Austria,https://icsstrive.com/incident/cyberattack-reported-at-institute-of-science-and-technology-austria-ista/
Cyberattack at Osaka Hospital Halted Non-Emergency Services,10/31/2022,Osaka Hospital,,,IT,Japan,https://icsstrive.com/incident/cyberattack-at-osaka-hospital-halted-non-emergency-services/
Blackbyte Group Claims Compromising Precious Metal Manufacturer in HongKong demanding $1.1M,10/30/2022,"Asahi Group Holdings, Ltd",,BlackByte,,China,https://icsstrive.com/incident/blackbyte-group-claims-compromising-precious-metal-manufacturer-in-hongkong-demanding-1-1m/
Ransomware Attack Paralyzes Vanuatu’s Government Ministries and Departments,10/30/2022,Vanuatu Government,,,IT,Vanuatu,https://icsstrive.com/incident/ransomware-attack-paralyzes-vanuatus-government-ministries-and-departments/
Trains Stop for Danish Train Operator DSB,10/29/2022,DSB Train Operator,,,OT IT,Denmark,https://icsstrive.com/incident/trains-stop-for-danish-train-operator-dsb/
ALMA Observatory Shutdown Impacts Scientist Worldwide.,10/29/2022,ALMA Observatory,,,IT,Chile,https://icsstrive.com/incident/alma-observatory-shutdown-impacts-scientist-worldwide/
Hackers Shut Down Production at Cartonnerie Gondardennes in France,10/28/2022,Cartonnerie Gondardennes,,,IT,France,https://icsstrive.com/incident/hackers-shut-down-production-at-cartonnerie-gondardennes-in-france/
Major German Regional Energy Company Hit by Cyberattack,10/26/2022,Enercity AG,,,IT,Germany,https://icsstrive.com/incident/german-regional-energy-company-hit-by-cyberattack/
Apparently Unsuccesful Cyberattack at Arvig Communications.,10/25/2022,Arvig,,,IT,United States,https://icsstrive.com/incident/apparently-unsuccesful-cyberattack-at-arvig-communications/
Mexico’s Transportation Ministery Halts Commercial Trucking Services for 2 Months,10/24/2022,"Secretariat of Infrastructure, Communications and Transportation (SICT)",,,IT,Mexico,https://icsstrive.com/incident/mexicos-transportation-ministery-halts-commercial-trucking-services-for-2-months/
World’s Largest Copper Smelter Largely Maintains Operations after Cyberattack,10/21/2022,Aurubis AG,,,IT,Germany,https://icsstrive.com/incident/worlds-largest-copper-smelter-largely-maintains-operations-after-cyberattack/
Michigan IT Service Provider Victim of Ransomware Attack,10/20/2022,Midland Information Technology Consortium – MiTCON,Ransomware – unknown,,IT,United States,https://icsstrive.com/incident/michigan-it-service-provider-victim-of-ransomware-attack/
Ransom Not Paid by Italian Chemical Producer Dollmar SpA,10/19/2022,Dollmar SpA,,Ragnar Locker,IT,Italy,https://icsstrive.com/incident/ransom-not-paid-by-italian-chemical-producer-35gb-of-data-published/
"Ransomware Attack at Landi Renzo, an Automotive Fuel Supply System Manufacturer in Italy",10/18/2022,Landi Renzo SpA,,Hive Ransomware Group,IT,Italy,https://icsstrive.com/incident/ransomware-attack-at-landi-renzo-an-automotive-fuel-supply-system-manufacturer-in-italy/
Cyberattack at Global Wholesale Company METRO,10/17/2022,METRO – MAKRO,,,IT,"Austria, France, Germany",https://icsstrive.com/incident/cyberattack-at-global-wholesale-company-metro/
Cyberattack at Iranian Nuclear Power Plant,10/17/2022,Iranian Atomic Energy Organization (AEOI),,Black Reward,IT,Iran,https://icsstrive.com/incident/cyberattack-at-irans-atomic-energy-agency/
Black Basta Hacks Systems of Engineering Firm that Designs Hundreds of US Power Stations.,10/15/2022,Sargent & Lundy,,Black Basta Group,IT,United States,https://icsstrive.com/incident/black-basta-hacks-systems-of-engineering-firm-that-designs-hundreds-of-us-power-stations/
"India’s Largest Integrated Power Company, Tata Power, Hit by Cyberattack",10/14/2022,Tata Power Company Limited,,Hive Ransomware Group,IT,India,https://icsstrive.com/incident/indias-largest-integrated-power-company-tata-power-hit-by-cyberattack/
"Aussie Woolworths Online Unit, MyDeal, Suffers Data Breach",10/14/2022,MyDeal,,,IT,Australia,https://icsstrive.com/incident/aussie-woolworths-online-unit-mydeal-suffers-data-breach/
Ransomware Attack Cripples Printing Systems at German Newspaper,10/14/2022,Stimme Mediengruppe,,,OT,Germany,https://icsstrive.com/incident/ransomware-attack-cripples-printing-systems-at-german-newspaper/
Australian Health Insurance Firm Medibank Hit by Ransomware Attack,10/12/2022,Medibank Private Limited,,,IT,Australia,https://icsstrive.com/incident/medibank-a-major-australian-health-insurance-co-hit-by-ransomware-attack/
Russian Sandworm Behind Operational Disruption of Ukraine Energy Facility in October 2022,10/12/2022,Unidentified,,Sandworm,OT IT,Ukraine,https://icsstrive.com/incident/russian-sandworm-behind-operational-disruption-of-ukraine-energy-facility-in-october-2022/
"Cybersecurity Attack at City of Dunedin, Pinellas County, Florida",10/05/2022,"Dunedin, Pinellas County, Florida",,,IT,United States,https://icsstrive.com/incident/cybersecurity-attack-at-city-of-dunedin-pinellas-county-florida/
"OT Systems Impacted at HiPP, a German Baby Food Manufacturer",10/05/2022,Hipp,,,OT IT,Germany,https://icsstrive.com/incident/ot-systems-impacted-at-german-baby-food-manufacturer/
"CommonSpirit, a Large US Hospital Chain, Patient Care Impacted by Ransomware Attack.",10/03/2022,CommonSpirit Health,Ransomware – unknown,Daixin Team,IT,United States,https://icsstrive.com/incident/commonspirit-a-large-us-hospital-chain-patient-care-impacted-by-ransomware-attack/
"Ferrari Confirms Internal Documents Leaked, States No Evidence of Cyberattack.",10/02/2022,Ferrari  S.p.A.,,,IT,Italy,https://icsstrive.com/incident/ferrari-confirms-internal-documents-leaked-states-no-evidence-of-cyberattack/
Louisiana Hospital Disclosed Hackers Accessed Systems,10/01/2022,Lake Charles Memorial Health System,,Hive Ransomware Group,IT  Privacy,United States,https://icsstrive.com/incident/louisiana-hospital-disclosed-hackers-accessed-systems/
Exponential Rise in IRS-Themed SMS Phishing Attacks in U.S.,09/28/2022,,Unknown phishing attack,,,United States,https://icsstrive.com/incident/exponential-rise-in-irs-themed-sms-phishing-attacks-in-u-s/
Italian Waste Management Service IT Systems Down after Ransomware Attack,09/28/2022,Alia Servizi Ambientali SpA,,Hive Ransomware Group,IT,Italy,https://icsstrive.com/incident/italian-waste-management-service-systems-down-after-ransomware-attack/
Sophisticated Phishing Campaign Targets Military and Weapons Contractors,09/27/2022,,Unknown phishing attack,,IT,,https://icsstrive.com/incident/sophisticated-phishing-campaign-targets-military-and-weapons-contractors/
No Databreach from Cyberattack at Fulcrum Utility Services in UK,09/27/2022,Fulcrum Utility Services Ltd,,,IT,United Kingdom,https://icsstrive.com/incident/no-databreach-from-cyberattack-at-fulcrum-utility-services-in-uk/
Ransomware Attack at Electric Company of Ghana Left Customers Without Power for Days,09/26/2022,Electricity Company of Ghana (ECG),,,OT IT,Ghana,https://icsstrive.com/incident/ransomware-attack-at-electric-company-of-ghana-left-customers-without-power-for-days/
"Optus, Aussie Telecom Firm, Hit In Cyberattack",09/22/2022,Optus,,,IT,Australia,https://icsstrive.com/incident/optus-aussie-telecom-firm-hit-in-cyberattack/
Toyota T-Connect Source Code Exposed on Github for 5 Years,09/15/2022,Toyota Motor Corporation,,,IT  Privacy,Japan,https://icsstrive.com/incident/5-year-toyota-t-connect-dataleak-as-source-code-exposed-on-github/
Uber Hit in Cyberattack,09/12/2022,Uber,,Lapsus$,IT,United States,https://icsstrive.com/incident/uber-hit-in-cyberattack/
2nd Singtel Business hit by Cyberattack –  Dialog Group’s Data Leaked,09/10/2022,Singapore Telecommunications Limited – Singtel,,,IT,Singapore,https://icsstrive.com/incident/2nd-singtel-business-hit-by-cyberattack-dialog-groups-data-leaked/
Ransomware Attack on ForceNet Communication Platform used by Australian Military,09/10/2022,Dialog Information Technology,Agenda,Qilin,IT,Australia,https://icsstrive.com/incident/ransomware-attack-on-forcenet-communication-platform-used-by-australian-military/
Hackers take control of a water treatment system at a hotel in Israel,09/10/2022,Unknown hotel,,,OT IT,Israel,https://icsstrive.com/incident/hackers-take-control-of-a-water-treatment-system-at-a-hotel-in-israel/
Cyberattack Paralyzes Operations at Suffolk County Offices in NY,09/08/2022,"Suffolk County, Long Island, NY",,BlackCat / ALPHV,IT,United States,https://icsstrive.com/incident/6447/
Ransomware Attack Cripples Bosnia and Herzegovina Parliament,09/08/2022,Government of Bosnia and Herzegovina,,,IT,Bosnia and Herzegovina,https://icsstrive.com/incident/ransomware-attack-cripples-bosnia-and-herzegovina-parliament/
"Cyberattack at Intercontinental Hotel Group (IHG) disrupts Franchisees, Customers and Supply Chains",09/06/2022,IHG – Intercontinental Hotels Group,,,IT,United States,https://icsstrive.com/incident/cyberattack-at-intercontinental-hotel-group-ihg-disrupts-franchisees-customers-and-supply-chains/
Hacktivists Take Down Multiple Japanese Government Websites,09/06/2022,"Nagoya Port Authority, Japanese Government Departments",,Killnet,IT,Japan,https://icsstrive.com/incident/hacktivists-take-down-multiple-japanese-government-websites/
Second Largest US Public School District in CA Hit by Ransomware Attack,09/05/2022,Los Angeles Unified School District,Ransomware – unknown,Vice Society,IT,United States,https://icsstrive.com/incident/second-largest-us-public-school-district-in-ca-hit-by-ransomware-attack/
Operations Impacted at Swiss Chocolate Manufacturer Läderach,09/05/2022,Läderach,Ransomware – unknown,,OT IT,Switzerland,https://icsstrive.com/incident/operations-impacted-at-swiss-chocolate-manufacturer-laderach/
Cyberattack at Major UK Transport Companies Affecting Bus Scheduling Services,09/04/2022,Go-Ahead,,,OT IT,United Kingdom,https://icsstrive.com/incident/cyberattack-at-major-uk-transport-companies-affecting-bus-scheduling-services/
Novosibirsk Transportation System Attacked by pro-Ukranian Hacker Group,09/02/2022,"Novosibirsk City Transport, Russia",,Team OneFist,IT,Russia,https://icsstrive.com/incident/novosibirsk-transportation-system-attacked-by-pro-ukranian-hacker-group/
Hack at Largest Taxi Service in Russia Caused Chaos in Moscow Traffic,09/01/2022,Yandex Taxi,,Anonymous,OT IT,Russia,https://icsstrive.com/incident/chaos-in-moscow-traffic-caused-by-yandex-taxis-software-hack/
"Eni, Italian Oil Giant, Suffers Cyberattack",08/31/2022,Eni,,,IT,Italy,https://icsstrive.com/incident/eni-italian-oil-giant-suffers-cyberattack/
Cyberattack at Singapore Specialist Shipbuilder: Sembcorp Marine,08/31/2022,Sembcorp Marine,,,IT,Singapore,https://icsstrive.com/incident/cyberattack-at-singapore-specialist-shipbuilder-sembcorp-marine/
$10 Million Ransom Demand Disables French Hospital – Patients Send Elsewhere.,08/29/2022,"Center Hospitalier Sud Francilien (CHSF),",,,IT,France,https://icsstrive.com/incident/10-million-ransom-demand-disables-french-hospital-patients-send-elsewhere/
"GSE, Italy’s Energy Services Firm, Temporarily Takes Portals Offline",08/29/2022,GSE – Gestore dei Servizi Energetici,,BlackCat / ALPHV,IT,Italy,https://icsstrive.com/incident/gse-italys-energy-services-firm-temporarily-takes-portals-offline/
Cyberattack Closes City Hall in Denver Suburb,08/29/2022,"Municipality of Wheatridge, Colorado",,,IT,United States,https://icsstrive.com/incident/cyberattack-closes-city-hall-in-denver-suburb/
Russian Streaming Giant Suffers Major Data Leak Impacting 44M Customers,08/28/2022,START,,,IT,Russia,https://icsstrive.com/incident/russian-streaming-giant-suffers-major-data-leak-impacting-44m-customers/
City of Hamilton Informs Water Customers of Ransomware Attack,08/26/2022,Neptune Technology Group Inc.,,,Privacy,Canada,https://icsstrive.com/incident/city-of-hamilton-informs-water-customers-of-ransomware-attack/
TAP Air Portugal Hit by Ragnar Locker Ransomware Gang,08/25/2022,TAP Air Portugal,,Ragnar Locker,IT,Portugal,https://icsstrive.com/incident/portugals-tap-hit-by-ragnar-locker-ransomware-gang/
Continental Auto Group Hit in Attack,08/24/2022,Continental,,LockBit,IT,Germany,https://icsstrive.com/incident/continental-auto-group-hit-in-attack/
"Business Critical Systems Disrupted at Largest Library Content, Software and Services Provider.",08/23/2022,Baker & Taylor,Ransomware – unknown,,IT,United States,https://icsstrive.com/incident/business-critical-systems-disrupted-at-largest-library-content-software-and-services-provider/
Global Airline Technology Provider Accelya  Hacked by AlphV/Black Cat.,08/23/2022,Accelya,,BlackCat / ALPHV,IT,"Global, Spain",https://icsstrive.com/incident/global-airline-technology-provider-accelya-hacked-by-alphv-black-cat/
Russian Natural Gas Network System Attacked by pro-Ukrainian Hacker Group,08/23/2022,"Khanty-Mansiysk city,Russia",,Team OneFist,OT IT,Russia,https://icsstrive.com/incident/russian-natural-gas-network-system-attacked-by-pro-ukrainian-hacker-group/
Hive Ransomware Group Attacks Canadian Bell Technical Solutions (BTS),08/20/2022,"Bell Technical Solutions, Canada",,Hive Ransomware Group,IT,Canada,https://icsstrive.com/incident/hive-ransomware-group-attacks-canadian-bell-technical-solutions-bts/
"DESFA, Greece’s Natural Gas Supplier, Suffers Cyberattack",08/19/2022,DESFA,Ragnar Locker,Ragnar Locker,IT,Greece,https://icsstrive.com/incident/desfa-greeces-natural-gas-supplier-suffers-cyberattack/
"$600K demanded in Dominican Agrarian Institute Quantum Ransomware Attack,",08/18/2022,Instituto Agrario Dominicano (IAD),Quantum Ransomware,,IT,Dominican Republic,https://icsstrive.com/incident/600k-demanded-in-dominican-agrarian-institute-quantum-ransomware-attack/
"European defense contractor, Hensoldt, allegedly Victim of Snatch Ransomware Attack.",08/18/2022,Hensoldt,,Snatch ransomware group,IT,"France, Germany",https://icsstrive.com/incident/european-defense-contractor-hensoldt-allegedly-victim-of-snatch-ransomware-attack/
Data Breach at Agricultural Mineral Powder Manufacturer in Iowa,08/17/2022,Calcium Products,,,IT  Privacy,United States,https://icsstrive.com/incident/databreach-at-agricultural-mineral-powder-manufacturer-in-iowa/
"Data Breach at Surgical Product Manufacturer in Savannah, Georgia",08/17/2022,Brasseler USA,,,Privacy,United States,https://icsstrive.com/incident/databreach-at-surgical-product-manufacturer-in-savannah-georgia/
UK Water Utility Suffers Cyberattack,08/15/2022,"South Staffordshire PLC, the parent company of South Staffs Water and Cambridge Water",CLOP,Clop (or Cl0p) ransomware gang,IT,United Kingdom,https://icsstrive.com/incident/uk-water-utility-suffers-cyberattack/
Hive Ransomware Group Attacks International French Clothing Stores,08/15/2022,Damart,,Hive Ransomware Group,IT,France,https://icsstrive.com/incident/hive-ransomware-impacts/
Jordanian Company Data Compromised in LV Ransomware Attack,08/15/2022,Unidentified,LV,LV,IT,Jordan,https://icsstrive.com/incident/jordanian-company-data-compromised-in-lv-ransomware-attack/
Cyberattack at the Chinese Subsidiary of a German Furniture Manufacturer,08/15/2022,Hettich Group,,,IT,"China, Germany",https://icsstrive.com/incident/cyberattack-at-the-chinese-subsidiary-of-a-german-furniture-manufacturer/
System Outage at Apex Capital Affects Medium and Small Size Trucking Companies’ Operations,08/15/2022,Apex Capital,,BlackByte,IT,United States,https://icsstrive.com/incident/system-outage-at-apex-capital-affects-medium-and-small-size-trucking-companies/
Court of Córdoba’s Infrastructure in Argentina Hit by PLAY Ransomware Attack,08/13/2022,"Judiciary of Córdoba, Argentina",PLAY,,IT,Argentina,https://icsstrive.com/incident/court-of-cordobas-infrastructure-in-argentina-hit-by-play-ransomware-attack/
"Source Code, Proprietary Technical Info Stolen at LastPass, a Global Password Management  Firm",08/12/2022,LastPass,,,IT  Privacy,,https://icsstrive.com/incident/source-code-and-proprietary-technical-info-stolen-at-lastpass-a-global-password-management-firm/
BRP Suspends Operations Following Ransomware Attack,08/08/2022,Bombardier Recreational Products (BRP),RansomEXX,,OT IT,"Austria, Canada, Finland, United States",https://icsstrive.com/incident/brp-suspends-operations-following-ransomware-attack/
Cyberattack Paralyzes Bulgarian Food Safety Agency Electronic Services,08/06/2022,Bulgarian Food Safety Agency (BFSA),,,IT,Bulgaria,https://icsstrive.com/incident/cyberattack-paralyzes-bulgarian-food-safety-agency-electronic-services/
Supply Chain Cyberattack Closes Ontario Cannabis Retail Corporation (OCS) Warehouse for Days.,08/05/2022,"Legacy Supply Chain, the parent company of Domain Logistics",,,IT,"Canada, United States",https://icsstrive.com/incident/us-supply-chain-cyberattack-affects-ontario-cannabis-retail-corporation-ocs-deliveries/
NHS 111 Emergency Line Hit by Cyberattack,08/04/2022,Advanced Computer Software Group Ltd.,Ransomware – unknown,,IT,United Kingdom,https://icsstrive.com/incident/nhs-111-emergency-line-hit-by-cyberattack/
Twilio Suffers Data Breach,08/04/2022,Twilio,0Ktapus phishing campaign,Scatter Swine / 0ktapus,IT,United States,https://icsstrive.com/incident/twilio-suffers-data-breach/
Systems Offline at Brazil’s National Agency for Petroleum,08/04/2022,"ANP – Brazil National Agency for Petroleum, Natural Gas and Biofuels",,,IT,Brazil,https://icsstrive.com/incident/systems-offline-at-brazils-national-agency-for-petroleum/
Data Breach at Air-Conditioner Manufacturer,08/04/2022,Friedrich Air Conditioning,,,Privacy,United States,https://icsstrive.com/incident/data-breach-at-air-conditioner-manufacturer/
Cyberattack Takes German Chambers of Industry & Commerce Largely Offline,08/03/2022,German Chambers of Industry and Commerce (DIHK),,,IT,Germany,https://icsstrive.com/incident/cyber-attack-takes-german-chambers-of-industry-largely-offline/
RansomEXX Claims Attack on Taiwanese Computer Manufacturer,08/02/2022,Gigabytes Technologies,RansomEXX,,IT,Taiwan,https://icsstrive.com/incident/ransomexx-claims-attack-on-taiwanese-computer-manufacturer/
City of Shanghai Health App Hack Affects over 48.5 Million Mandatory Users.,08/01/2022,City of Shanghai,,,IT  Privacy,China,https://icsstrive.com/incident/city-of-shanghai-health-app-hack-affects-over-48-5-million-mandatory-users/
Entire System of Global Energy Provider ista International Hacked in Two Days,08/01/2022,ista International GmbH,,Daixin Team,IT,"Germany, Global",https://icsstrive.com/incident/entire-system-of-global-energy-provider-ista-international-hacked-in-two-days/
Semikron ‘Holding Production’ after Cyber Attack,07/29/2022,Semikron,LV,LV,IT,Germany,https://icsstrive.com/incident/semikron-holding-production-after-cyber-attack/
"Samsung Hit in Cyberattack, Again",07/28/2022,Samsung,,,IT,South Korea,https://icsstrive.com/incident/samsung-hit-in-cyberattack-again/
"Hive Ransomware Note Demands £500,000 from Wooton Upper School, UK",07/27/2022,Wooton Academy Trust.,,Hive Ransomware Group,,United Kingdom,https://icsstrive.com/incident/hive-ransomware-note-demands-500000-from-wooton-upper-school-uk/
Kansas City MSP NetStandard Forced to Disable MyAppsAnywhere Cloud Service.,07/26/2022,NetStandard,,,IT,United States,https://icsstrive.com/incident/cyberattack-forced-kansas-city-msp-netstandard-to-disable-myappsanywhere-cloud-service/
Blackcat / ALPHV Ransomware Attack Hits Luxembourg-based Critical Infrastructure Companies,07/22/2022,"Encevo, parent company of Creos",,BlackCat / ALPHV,IT,Luxembourg,https://icsstrive.com/incident/blackcat-alphv-ransomware-attack-hits-luxembourg-based-critical-infrastructure-companies/
Ransomware Attack Hits Entire Canadian Town of St. Mary’s,07/20/2022,"Town of St. Mary, ON, Canada",,LockBit,IT,Canada,https://icsstrive.com/incident/ransomware-attack-hits-entire-canadian-town-of-st-marys/
Hackers Paralyzed Computer System at Austrian Light Manufacturer EGLO,07/18/2022,EGLO,,,OT IT,Austria,https://icsstrive.com/incident/hackers-paralyzed-computer-system-at-austrian-light-manufacturer-eglo/
‘Massive’ Cyberattack on Government Services in Albania,07/17/2022,Albanian National Agency for Information Services,ROADSWEEP,,IT,Albania,https://icsstrive.com/incident/massive-cyberattack-on-government-services-in-albania/
Nearly All AT&T Customers Exposed in Massive 2022 Data Breach,07/16/2022,AT&T,,,IT  Privacy,United States,https://icsstrive.com/incident/nearly-all-att-customers-exposed-in-massive-2022-data-breach/
Rhode Island Sewer System Operator Hit by Cyberattack,07/07/2022,"Narragansett Bay Commission, RI",,,IT,United States,https://icsstrive.com/incident/rhode-island-sewer-system-operator-hit-by-cyberattack/
Entire Network of Large Australian Prison Security Firm Hacked,07/07/2022,"G4S, Australia",Ransomware [Target: AU Prison],Hive Ransomware Group,IT,Australia,https://icsstrive.com/incident/on-of-australias-largest-prisons-caught-up-in-cyberattack/
Marriott Hacked Again in 2022,07/06/2022,Marriott,,,IT,United States,https://icsstrive.com/incident/marriott-hacked-again-in-2022/
American Airlines Suffers Breach,07/05/2022,American Airlines,,,IT,United States,https://icsstrive.com/incident/american-airlines-suffers-breach/
SHI International takes systems offline after malware attack,07/03/2022,SHI IT Services,,,IT,"Netherlands, United Kingdom, United States",https://icsstrive.com/incident/shi-international-takes-systems-offline-after-malware-attack/
Staff Members Personal Data Potentially Compromised in Cedar Rapids School District Cyberattack.,07/02/2022,Cedar Rapids Community School District,Ransomware – unknown,,IT,United States,https://icsstrive.com/incident/staff-members-personal-data-potentially-compromised-in-cedar-rapids-school-district-cyberattack/
Drone Cyberattack at US Financial Firm,07/01/2022,Unidentified,,,IT,United States,https://icsstrive.com/incident/drone-cyberattack-at-us-financial-firm/
Georgia Hospital Takes Computer Systems Offline –  Continues to Provide Care.,06/30/2022,Jack Hughston Memorial Hospital,,,IT,United States,https://icsstrive.com/incident/georgia-hospital-continued-to-provide-care-while-computer-systems-were-taken-off-line/
Hive Ransomware Group Leaks NY Racing Assoc. Data,06/30/2022,New York Racing Association – NYRA,,Hive Ransomware Group,IT,United States,https://icsstrive.com/incident/hive-ransomware-group-leaks-ny-racing-assoc-data/
Largest Building Material Producer Attacked by Black Basta Ransomware Group,06/29/2022,Knauf Gips KG,,Black Basta Group,IT,Germany,https://icsstrive.com/incident/largest-building-material-producer-attacked-by-black-basta/
Baton Rouge General Hit by Cyberattack,06/28/2022,Baton Rouge General,,,IT,United States,https://icsstrive.com/incident/baton-rouge-general-hit-by-cyberattack/
Khuzestan Steel among Plants Hit in Cyber Attack; Production Halts,06/27/2022,"Mobarakeh Steel Company (MSC), Khuzestan Steel Co., Hormozgan Steel Company (HOSCO)",,Predatory Sparrow,OT IT,Iran,https://icsstrive.com/incident/khuzestan-steel-hit-in-cyber-attack-production-halts/
Cyberattack Disrupts Unemployment Services for Tens of Thousands of People in Multiple US States.,06/26/2022,Geographic Solutions (GSI),Unknown,,IT,United States,https://icsstrive.com/incident/cyberattack-disrupts-unemployment-services-for-tens-of-thousands-of-people-in-multiple-us-states/
Apetito’s Security Systems Breached in Sophisticated Cyberattack,06/26/2022,Apetito,,Hive Ransomware Group,OT IT,United Kingdom,https://icsstrive.com/incident/apetitos-security-systems-breached-in-sophisticated-cyberattack/
IT & OT Attack forces Macmillan Publishers to Take Operations Offline and Close Physical Offices,06/25/2022,Macmillan Publishers,,,OT IT,"United Kingdom, United States",https://icsstrive.com/incident/cyberattack-forces-macmillan-publishers-to-take-operations-offline-and-close-physical-offices/
